age,gender,country,mascu_sec,working,gnorm_executives,gnorm_nurses,competitiveness,risk_tolerance,depression_score,cgi,male,rand
60,Female,Brazil,0,1,Agree,Agree,5,5,1.5,2,0,.60537404
35,Female,Chile,0,1,Strongly disagree,Disagree,10,8,5,0,0,.51212913
52,Female,Brazil,,1,Strongly agree,Agree,7,6,4.75,5,0,.56532401
40,Female,Brazil,0,1,Strongly agree,Agree,3,1,3.25,0,0,.56532836
55,Female,Brazil,,0,Strongly agree,Agree,9,7,4.25,0,0,.96661568
34,Male,Argentina,0,1,Agree,Agree,10,7,2,7,1,.9406904
21,Female,Brazil,0,1,Strongly agree,Agree,7,6,2.75,4,0,.86439055
45,Male,Brazil,0,1,Strongly agree,Disagree,7,7,4,8,1,.68780148
30,Female,Argentina,,0,Strongly agree,Agree,6,6,3,3,0,.67726701
54,Female,Argentina,,1,Strongly agree,Strongly agree,0,7,3.5,0,0,.81457525
62,Female,Argentina,,1,Strongly agree,Agree,5,5,4.75,0,0,.77815044
33,Male,Brazil,0,1,Agree,Agree,8,7,2.75,8,1,.68119538
55,Male,Chile,,0,Agree,Agree,10,10,1.25,8,1,.69464689
47,Male,Brazil,,0,Disagree,Disagree,5,5,4,7,1,.67393863
37,Female,Chile,,1,Strongly agree,Strongly agree,8,8,1.75,0,0,.85847509
22,Male,Chile,,0,Strongly agree,Strongly agree,10,6,1,10,1,.6967907
61,Male,Chile,,0,Agree,Agree,8,7,1.75,9,1,.54386711
58,Male,Mexico,0,1,Strongly agree,Strongly disagree,9,8,2,5,1,.65169042
33,Female,Chile,1,1,Agree,Agree,7,5,1.75,3,0,.73571914
36,Male,Chile,1,1,Disagree,Agree,7,6,1.75,10,1,.72108591
39,Female,Brazil,0,1,Agree,Agree,10,10,1.5,0,0,.54823703
45,Female,Mexico,0,1,Agree,Agree,7,8,2,5,0,.69595981
39,Male,Chile,0,1,Strongly agree,Strongly agree,9,9,1.25,9,1,.66081911
37,Female,Brazil,,0,Agree,Agree,8,4,2,0,0,.81388491
33,Female,Brazil,,0,Strongly agree,Strongly agree,6,5,1.75,0,0,.78262562
36,Female,Argentina,0,1,Strongly agree,Strongly agree,5,10,1.25,3,0,.92119581
54,Male,Mexico,0,1,Strongly agree,Strongly agree,8,7,1.5,10,1,.78800291
48,Female,Mexico,,0,Agree,Strongly agree,9,8,3.25,0,0,.97522557
